Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C
86,,,,,,,,,,,24,1,1,1,0,,,,,,11,3,4,1,0,,,,,,16,3,4,1,0,,,,,,,,,,,2,4,3,1,0
87,,,,,,,,,,,7,3,3,1,0,,,,,,9,1,1,1,0,,,,,,6,6,3,2,0,,,,,,,,,,,56,2,1,1,0
88,,,,,,,,,,,8,1,1,1,0,,,,,,8,3,3,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,6,4,3,1,0
89,,,,,,,,,,,14,4,4,1,0,,,,,,1,5,3,2,0,,,,,,35,2,1,1,0,,,,,,,,,,,35,2,1,1,0
90,,,,,,,,,,,18,1,1,1,0,,,,,,6,3,3,1,0,,,,,,26,4,4,1,1,,,,,,,,,,,54,5,4,2,0
91,,,,,,,,,,,28,3,4,1,0,,,,,,1,5,3,2,0,,,,,,20,5,4,1,1,,,,,,,,,,,110,2,1,1,0
92,,,,,,,,,,,58,2,1,1,0,,,,,,8,3,3,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,15,4,4,2,0
93,,,,,,,,,,,12,3,4,1,1,,,,,,2,5,3,2,0,,,,,,65,1,1,1,0,,,,,,,,,,,69,2,1,1,0
94,,,,,,,,,,,10,2,1,1,1,,,,,,7,3,3,1,0,,,,,,25,3,4,1,1,,,,,,,,,,,17,8,4,2,0
95,,,,,,,,,,,12,3,4,1,1,,,,,,1,5,3,2,0,,,,,,27,3,4,1,1,,,,,,,,,,,86,2,1,1,0
96,,,,,,,,,,,22,1,1,1,0,,,,,,61,1,1,1,0,,,,,,3,6,3,2,1,,,,,,,,,,,40,8,4,2,0
97,,,,,,,,,,,39,4,4,1,1,,,,,,20,3,4,1,0,,,,,,20,3,4,1,1,,,,,,,,,,,65,2,1,1,0
