Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
285,,,,,,,,,,,,,36,3,0,,,,12,7,0
286,,,,,,,,,,,,,1.2,5,0,,,,2,4,0
287,,,,,,,,,,,,,31,3,0,,,,27,4,1
288,,,,,,,,,,,,,8,1,0,,,,1,6,1
289,,,,,,,,,,,,,15,5,0,,,,40,4,1
290,,,,,,,,,,,,,29,1,0,,,,0.5,6,0
291,,,,,,,,,,,,,2.5,3,0,,,,6,2,0
292,,,,,,,,,,,,,4.5,6,0,,,,13,6,0
293,,,,,,,,,,,,,125,2,0,,,,4,6,0
294,,,,,,,,,,,,,6,5,0,,,,4,6,0
295,,,,,,,,,,,,,12,1,0,,,,9,4,1
296,,,,,,,,,,,,,32,5,0,,,,2,6,1
297,,,,,,,,,,,,,6,1,0,,,,39,2,0
298,,,,,,,,,,,,,2,4,0,,,,16,3,0
299,,,,,,,,,,,,,5,1,0,,,,1.5,6,0
300,,,,,,,,,,,,,3,4,0,,,,56,10,0
301,,,,,,,,,,,,,5,1,0,,,,3,7,0
302,,,,,,,,,,,,,10,5,0,,,,35,10,0
303,,,,,,,,,,,,,2,1,0,,,,35,6,0
304,,,,,,,,,,,,,44,3,0,,,,35,6,0
305,,,,,,,,,,,,,135,2,0,,,,10,3,0
306,,,,,,,,,,,,,18,7,0,,,,5,2,0
307,,,,,,,,,,,,,14,1,0,,,,3,6,0
308,,,,,,,,,,,,,54,3,0,,,,320,2,0
309,,,,,,,,,,,,,130,1,0,,,,609,10,1
310,,,,,,,,,,,,,11,2,0,,,,10,4,1
311,,,,,,,,,,,,,6,1,0,,,,7,6,1
312,,,,,,,,,,,,,11,3,0,,,,11,4,1
313,,,,,,,,,,,,,22,1,0,,,,14,2,0
314,,,,,,,,,,,,,13,3,0,,,,22,3,1
315,,,,,,,,,,,,,21,1,0,,,,1,6,1
316,,,,,,,,,,,,,12,5,0,,,,1,6,1
317,,,,,,,,,,,,,17,1,0,,,,1,6,1
318,,,,,,,,,,,,,9,4,0,,,,16,3,1
319,,,,,,,,,,,,,75,2,0,,,,19,2,0
320,,,,,,,,,,,,,18,4,0,,,,21,4,1
321,,,,,,,,,,,,,2,1,0,,,,13,3,1
322,,,,,,,,,,,,,23,4,0,,,,10,3,1
323,,,,,,,,,,,,,5,2,0,,,,1,6,1
324,,,,,,,,,,,,,12,3,0,,,,7,3,0
325,,,,,,,,,,,,,53,1,0,,,,10,4,0
326,,,,,,,,,,,,,14,4,0,,,,9,4,1
327,,,,,,,,,,,,,6,1,0,,,,6,4,1
328,,,,,,,,,,,,,27,4,0,,,,25,4,1
329,,,,,,,,,,,,,7,1,0,,,,1,6,1
330,,,,,,,,,,,,,6,4,1,,,,49,2,
331,,,,,,,,,,,,,9,4,1,,,,10,3,1
332,,,,,,,,,,,,,5,1,0,,,,15,4,1
333,,,,,,,,,,,,,25,4,0,,,,18,4,1
334,,,,,,,,,,,,,140,2,0,,,,37,2,
335,,,,,,,,,,,,,10,3,0,,,,0.5,6,
336,,,,,,,,,,,,,3,1,0,,,,42,2,
337,,,,,,,,,,,,,13,3,0,,,,0.5,6,
338,,,,,,,,,,,,,1,5,0,,,,36,2,
339,,,,,,,,,,,,,10,3,0,,,,8,4,
340,,,,,,,,,,,,,14,3,0,,,,2,6,
341,,,,,,,,,,,,,5,1,0,,,,6,3,
342,,,,,,,,,,,,,11,4,0,,,,1,6,
343,,,,,,,,,,,,,32,2,0,,,,34,3,
344,,,,,,,,,,,,,12,4,0,,,,640,10,
345,,,,,,,,,,,,,110,2,0,,,,,,
346,,,,,,,,,,,,,24,4,0,,,,,,
347,,,,,,,,,,,,,16,1,0,,,,,,
348,,,,,,,,,,,,,15,3,0,,,,,,
349,,,,,,,,,,,,,23,4,0,,,,,,
350,,,,,,,,,,,,,4,3,1,,,,,,
351,,,,,,,,,,,,,7,3,1,,,,,,
352,,,,,,,,,,,,,40,1,0,,,,,,
